ID,title,author,categoryCode,stock,price
11111111-1111-1111-1111-111111111111,SAP入門,田中太郎,A02,10,3200.00
22222222-2222-2222-2222-222222222222,UI5ハンドブック,佐藤花子,A02,5,4500.00
33333333-3333-3333-3333-333333333333,夏の物語,山田一郎,A01,20,1800.00
44444444-4444-4444-4444-444444444444,経営戦略の基本,鈴木次郎,A04,8,2800.00
55555555-5555-5555-5555-555555555555,月刊ITトレンド,高橋美咲,A03,15,980.00
66044ce3-cfa0-4cce-a781-3422c2138833,春の物語 Vol.1,田中太郎,A01,1,1600.00
17c73f66-4a29-4da3-b6dd-f514c5cf6695,SAP入門 Vol.2,佐藤花子,A02,4,3120.00
2a5a47c9-5cef-4de5-9417-e73e14e97032,開発者通信 2026年1月号 Vol.3,山田一郎,A03,7,1140.00
989633f4-004f-4df0-952e-17b4d3ff57e4,会計の基本 Vol.4,鈴木次郎,A04,10,2860.00
b0f4ebb1-8dad-4b4a-bef4-cd1aa22c01c1,星の物語 Vol.5,高橋美咲,A01,13,2080.00
bac8b6af-f89b-48f1-afc7-49138a9bfc14,データ分析入門 Vol.6,伊藤健,A02,16,3600.00
60b789e1-a342-4466-bdcf-c521f99a642c,月刊IT 2026年2月号 Vol.7,渡辺葵,A03,19,1620.00
4585a8b0-c42a-4df5-9bb1-982e7f35e085,新規事業の基本 Vol.8,中村蓮,A04,22,3340.00
f270cb8b-8eb2-4a37-9da9-e3de2a881ec6,光の物語 Vol.9,小林優奈,A01,25,2560.00
d83d359f-2ea8-4272-9417-232a3be6a711,テスト入門 Vol.10,加藤翔,A02,28,4080.00
ab9a3c86-4c91-4616-a7eb-ea6cea5a489b,業界ウォッチ 2026年2月号 Vol.11,田中太郎,A03,31,2100.00
7c9b3709-b8e6-406d-a059-01690052bf8a,会計実践講座 Vol.12,佐藤花子,A04,34,3820.00
465fbc24-69ff-4f9b-b56e-a84ed8244712,秋の約束 Vol.13,山田一郎,A01,37,3040.00
a4dff167-61a5-4dad-9d59-b9cefbe616f6,CAP実践ガイド Vol.14,鈴木次郎,A02,40,4560.00
2205010e-c711-4db0-b47a-8ea54daa1dfb,開発者通信 2026年3月号 Vol.15,高橋美咲,A03,43,2580.00
b30fa3dd-9d84-4e94-9fd9-d8ed1465f7e1,新規事業実践講座 Vol.16,伊藤健,A04,46,4300.00
4124625a-5d88-42fc-a4a1-034d62ea78c4,風の約束 Vol.17,渡辺葵,A01,49,3520.00
88baa869-d806-4d7c-a86d-c4129137fdc8,開発実践ガイド Vol.18,中村蓮,A02,1,3000.00
d3cb3e24-ca7e-495d-a107-49e7d20ce1bd,月刊IT 2026年4月号 Vol.19,小林優奈,A03,4,1020.00
8736e6f3-0344-490c-a6ef-b2a7fb8a6a18,会計入門 Vol.20,加藤翔,A04,7,2740.00
bc9ce84b-c8ed-49f6-ba8d-970752018a37,春の旅 Vol.21,田中太郎,A01,10,1960.00
e8681329-64c7-430b-beb6-769548f22977,SAPハンドブック Vol.22,佐藤花子,A02,13,3480.00
b5309732-05e5-4abf-81c0-e3c5919b649a,業界ウォッチ 2026年4月号 Vol.23,山田一郎,A03,16,1500.00
6e3724e1-8b60-4095-b3f8-7c637e04c526,新規事業入門 Vol.24,鈴木次郎,A04,19,3220.00
d6d62672-b5ff-4953-83cf-62b94fe17274,星の旅 Vol.25,高橋美咲,A01,22,2440.00
63b1bb8c-87dd-475d-b6fe-f02f0c6b2ff0,データ分析ハンドブック Vol.26,伊藤健,A02,25,3960.00
9fc82bbd-21a1-4b5f-88a6-1c594c0a1002,開発者通信 2026年5月号 Vol.27,渡辺葵,A03,28,1980.00
2874b43a-0f04-4941-aadd-f444279900e3,会計マネジメント Vol.28,中村蓮,A04,31,3700.00
f1072ac9-ed3a-4415-a42e-3644569edd11,光の旅 Vol.29,小林優奈,A01,34,2920.00
e77fb819-fa03-41f3-bdec-d5e90cefcaf2,テストハンドブック Vol.30,加藤翔,A02,37,4440.00
e2fd3e86-2374-4267-8331-131db3007e4f,月刊IT 2026年6月号 Vol.31,田中太郎,A03,40,2460.00
3303adcc-04de-47ed-836b-80eb7faecc29,新規事業マネジメント Vol.32,佐藤花子,A04,43,4180.00
a4599098-54f0-471e-8d2d-d80d7f4eb370,秋の手紙 Vol.33,山田一郎,A01,46,3400.00
